Taxon Name	Available at Nursery?	Nurseries	Percent of Nurseries with this Taxon
Amaranthus blitum var. emarginatus	False		0.0
Amaranthus blitum ssp. emarginatus	False		0.0
Amaranthus lividus	False		0.0
Ammophila breviligulata	False		0.0
Ambrosia	True	FourthCornerNursery, InsidePassageSeeds, 	15.38
Amaranthus californicus	False		0.0
Amaranthus albomarginatus	False		0.0
Amaranthus microphyllus	False		0.0
Amaranthus caudatus	False		0.0
Amaranthus edulis	False		0.0
Ambrosia chamissonis	True	FourthCornerNursery, InsidePassageSeeds, 	15.38
Ambrosia chamissonis var. bipinnatisecta	False		0.0
Franseria chamissonis	False		0.0
Franseria chamissonis ssp. bipinnatisecta	False		0.0
Franseria chamissonis var. bipinnatisecta	False		0.0
Amaranthus cruentus	False		0.0
Amaranthus hybridus ssp. cruentus	False		0.0
Amaranthus hybridus var. cruentus	False		0.0
Amaranthus paniculatus	False		0.0
Amelanchier	True	DerbyCanyonNatives, DesertJewelsNursery, FourthCornerNursery, HimaNursery, InsidePassageSeeds, LandHSeeds, OxbowFarmandConservationCenter, 	53.85
Amorpha fruticosa	False		0.0
Amorpha angustifolia	False		0.0
Amorpha bushii	False		0.0
Amorpha croceolanata	False		0.0
Amorpha curtissii	False		0.0
Amorpha dewinkeleri	False		0.0
Amorpha fruticosa var. angustifolia	False		0.0
Amorpha fruticosa var. croceolanata	False		0.0
Amorpha fruticosa var. emarginata	False		0.0
Amorpha fruticosa var. oblongifolia	False		0.0
Amorpha fruticosa var. occidentalis	False		0.0
Amorpha fruticosa var. tennesseensis	False		0.0
Amorpha occidentalis	False		0.0
Amorpha occidentalis var. arizonica	False		0.0
Amorpha occidentalis var. emarginata	False		0.0
Amorpha tennesseensis	False		0.0
Amorpha virgata	False		0.0
Amaranthus hybridus	False		0.0
Amaranthus chlorostachys	False		0.0
Amaranthus incurvatus	False		0.0
Amaranthus patulus	False		0.0
Amelanchier laevis	False		0.0
Amelanchier arborea f.) ssp. laevis	False		0.0
Amelanchier arborea f.) var. cordifolia	False		0.0
Amelanchier arborea f.) var. laevis	False		0.0
Amelanchier laevis var. nitida	False		0.0
Amsinckia lycopsoides	False		0.0
Amsinckia barbata	False		0.0
Benthamia lycopsoides	False		0.0
Ammannia	False		0.0
Amsinckia menziesii	True	NorthwestMeadowscapes, 	7.69
Amsinckia menziesii var. intermedia	False		0.0
Amsinckia arizonica	False		0.0
Amsinckia demissa	False		0.0
Amsinckia echinata	False		0.0
Amsinckia intactilis	False		0.0
Amsinckia intermedia	False		0.0
Amsinckia intermedia var. echinata	False		0.0
Amsinckia microphylla	False		0.0
Amsinckia nana	False		0.0
Amsinckia rigida	False		0.0
Amsinckia menziesii var. menziesii	False		0.0
Amsinckia hispida	False		0.0
Amsinckia idahoensis	False		0.0
Amsinckia micrantha	False		0.0
Amsinckia parviflora	False		0.0
Amsinckia retrorsa	False		0.0
Amsinckia rugosa	False		0.0
Echium menziesii	False		0.0
Ammophila	False		0.0
Amorpha	False		0.0
Amelanchier pallida	False		0.0
Amelanchier alnifolia var. pallida	False		0.0
Amelanchier florida var. gracilis	False		0.0
Amelanchier gracilis	False		0.0
Amaranthus powellii	False		0.0
Amaranthus powellii ssp. bouchonii	False		0.0
Amaranthus bouchonii	False		0.0
Amaranthus powellii ssp. powellii	False		0.0
Amaranthus bracteosus	False		0.0
Amaranthus retroflexus var. powellii	False		0.0
Amaranthus viscidulus	False		0.0
Ambrosia psilostachya	False		0.0
Ambrosia californica	False		0.0
Ambrosia coronopifolia	False		0.0
Ambrosia cumanensis	False		0.0
Ambrosia psilostachya var. californica	False		0.0
Ambrosia psilostachya var. coronopifolia	False		0.0
Ambrosia psilostachya var. lindheimeriana	False		0.0
